sample_size,top-1,top-5,top-10,top-25,top-50,top-100,model_dir
4503,0,0.00909090909090909,0.045454545454545456,0.15454545454545454,0.2909090909090909,0.4,<built-in function dir>
9006,0,0.02727272727272727,0.03636363636363636,0.09090909090909091,0.2545454545454545,0.4909090909090909,<built-in function dir>
13509,0,0.02727272727272727,0.02727272727272727,0.13636363636363635,0.21818181818181817,0.4090909090909091,<built-in function dir>
18012,0.00909090909090909,0.05454545454545454,0.09090909090909091,0.17272727272727273,0.33636363636363636,0.509090909090909,<built-in function dir>
22515,0.00909090909090909,0.07272727272727272,0.11818181818181818,0.2,0.2909090909090909,0.39090909090909093,<built-in function dir>
27018,0.00909090909090909,0.02727272727272727,0.03636363636363636,0.08181818181818182,0.2,0.4090909090909091,<built-in function dir>
31521,0,0.02727272727272727,0.02727272727272727,0.11818181818181818,0.2545454545454545,0.36363636363636365,<built-in function dir>
36024,0,0.01818181818181818,0.06363636363636363,0.1,0.19090909090909092,0.36363636363636365,<built-in function dir>
40527,0,0.02727272727272727,0.08181818181818182,0.16363636363636364,0.2727272727272727,0.44545454545454544,<built-in function dir>
45030,0,0.00909090909090909,0.045454545454545456,0.10909090909090909,0.23636363636363636,0.4090909090909091,<built-in function dir>
49533,0.00909090909090909,0.02727272727272727,0.06363636363636363,0.17272727272727273,0.2818181818181818,0.4636363636363636,<built-in function dir>
54036,0,0.03636363636363636,0.1,0.14545454545454545,0.2636363636363636,0.41818181818181815,<built-in function dir>
58539,0.01818181818181818,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.2636363636363636,0.4727272727272727,<built-in function dir>
63042,0,0.045454545454545456,0.09090909090909091,0.14545454545454545,0.3,0.4727272727272727,<built-in function dir>
67545,0.00909090909090909,0.02727272727272727,0.07272727272727272,0.12727272727272726,0.24545454545454545,0.44545454545454544,<built-in function dir>
72048,0.01818181818181818,0.045454545454545456,0.05454545454545454,0.14545454545454545,0.2545454545454545,0.4090909090909091,<built-in function dir>
76551,0.00909090909090909,0.01818181818181818,0.045454545454545456,0.13636363636363635,0.21818181818181817,0.3181818181818182,<built-in function dir>
81054,0.00909090909090909,0.00909090909090909,0.03636363636363636,0.15454545454545454,0.24545454545454545,0.41818181818181815,<built-in function dir>
85557,0,0.07272727272727272,0.1,0.21818181818181817,0.2909090909090909,0.4727272727272727,<built-in function dir>
